City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Beira,-19.8436,34.8389,68.09,100,20,4.61,MZ,2021-09-15 04:36:07
274,Hessisch Oldendorf,52.1667,9.25,66.24,85,75,4.61,DE,2021-09-15 04:36:07
275,Isla Vista,34.4133,-119.861,74.12,94,20,0.0,US,2021-09-15 04:36:08
276,Dom Pedrito,-30.9828,-54.6731,45.66,92,0,4.47,BR,2021-09-15 04:36:08
277,Chokwe,-24.5333,32.9833,73.44,61,0,10.07,MZ,2021-09-15 04:36:08
278,Vao,-22.6667,167.4833,72.09,87,6,20.85,NC,2021-09-15 04:36:08
279,San Patricio,28.017,-97.5169,82.83,73,40,4.76,US,2021-09-15 04:36:09
280,Bud,39.447,-86.1758,73.42,97,47,6.15,US,2021-09-15 04:36:09
281,Sinnamary,5.3833,-52.95,78.1,86,2,7.87,GF,2021-09-15 04:36:09
282,Nizhniy Baskunchak,48.2198,46.8311,74.37,37,3,12.46,RU,2021-09-15 04:36:10
283,Ahipara,-35.1667,173.1667,61.65,87,100,11.01,NZ,2021-09-15 04:36:10
284,Namibe,-15.1961,12.1522,59.88,88,12,3.38,AO,2021-09-15 04:36:10
285,Muncar,-8.4333,114.3333,84.11,71,94,7.72,ID,2021-09-15 04:36:10
286,Axim,4.8699,-2.2405,74.73,91,100,4.92,GH,2021-09-15 04:36:11
287,Bida,9.0833,6.0167,73.17,95,100,2.55,NG,2021-09-15 04:36:11
288,Carballo,43.213,-8.691,64.09,98,64,3.31,ES,2021-09-15 04:36:11
289,Terskaya,43.7238,44.7244,63.34,63,5,4.47,RU,2021-09-15 04:36:11
290,Lavrentiya,65.5833,-171.0,41.61,73,100,10.47,RU,2021-09-15 04:36:12
291,Elko,41.0002,-115.5012,66.63,17,0,3.0,US,2021-09-15 04:36:12
